ma_ho,ten_ho,nganh,tinh_thanh,so_nam_hoat_dong,doanh_thu_hoa_don_T1,doanh_thu_hoa_don_T2,doanh_thu_hoa_don_T3,doanh_thu_hoa_don_T4,doanh_thu_hoa_don_T5,doanh_thu_hoa_don_T6,doanh_thu_hoa_don_T7,doanh_thu_hoa_don_T8,doanh_thu_hoa_don_T9,doanh_thu_hoa_don_T10,doanh_thu_hoa_don_T11,doanh_thu_hoa_don_T12,so_giao_dich_trung_binh_ngay,dong_tien_ngan_hang_T1,dong_tien_ngan_hang_T2,dong_tien_ngan_hang_T3,dong_tien_ngan_hang_T4,dong_tien_ngan_hang_T5,dong_tien_ngan_hang_T6,dong_tien_ngan_hang_T7,dong_tien_ngan_hang_T8,dong_tien_ngan_hang_T9,dong_tien_ngan_hang_T10,dong_tien_ngan_hang_T11,dong_tien_ngan_hang_T12,tien_dien_T1,tien_dien_T2,tien_dien_T3,tien_dien_T4,tien_dien_T5,tien_dien_T6,tien_dien_T7,tien_dien_T8,tien_dien_T9,tien_dien_T10,tien_dien_T11,tien_dien_T12,co_lich_su_tin_dung_CIC,so_tien_de_nghi_vay,nhan_vo_no
HKD013,Tạp hóa Cô Ba,Tạp hóa,Đà Nẵng,2.7,129300000,142700000,167100000,155800000,127300000,188800000,125400000,189100000,194700000,145800000,147000000,227300000,140,104200000,144000000,132900000,156400000,118300000,165200000,103700000,178600000,140800000,129900000,129200000,225100000,3010000,3670000,3540000,3630000,4520000,4670000,4130000,3820000,3680000,3320000,3260000,3560000,Có,480000000,0
HKD014,Quán phở Ông Hải,Quán ăn,TP. Hồ Chí Minh,5.0,109100000,82900000,99400000,116000000,121600000,121900000,131400000,130200000,148700000,125200000,133700000,187900000,85,82800000,73400000,87000000,90900000,85800000,100100000,109700000,111100000,118600000,108600000,117600000,136800000,4400000,4190000,4340000,4750000,5780000,5600000,4640000,5050000,4540000,4270000,4010000,3700000,Có,125000000,0
HKD015,VLXD Phát Lộc,Vật liệu XD,Đồng Nai,2.9,401000000,338900000,295200000,470200000,325100000,292500000,318000000,267300000,276000000,289900000,275100000,365500000,15,237300000,163900000,177200000,221900000,160000000,162700000,168500000,151200000,135700000,138200000,119300000,171000000,3140000,3140000,3790000,3850000,3790000,5030000,4090000,3850000,4080000,3830000,3190000,3060000,Có,195000000,1
HKD016,Cà phê Bụi Đường,Cà phê,Thanh Hóa,3.1,114600000,108700000,106300000,108000000,115200000,116400000,117600000,111900000,100500000,91800000,98600000,95500000,100,104300000,89100000,78800000,90600000,109700000,102400000,100100000,100500000,88600000,80700000,82600000,82400000,7390000,7170000,7550000,8810000,9910000,9900000,9650000,9320000,9540000,7900000,7930000,8160000,Không,275000000,1
HKD017,Cà phê Hạt Đắng,Cà phê,Hà Nội,8.4,93900000,61600000,117300000,58600000,112100000,125100000,153100000,136000000,111400000,109100000,109300000,153300000,83,56400000,47100000,79600000,42600000,73500000,123800000,91900000,99000000,81400000,84800000,82500000,115200000,5370000,4720000,5630000,5620000,6600000,6150000,6130000,6260000,6220000,5590000,5280000,5500000,Có,75000000,0
HKD018,VLXD Bình An,Vật liệu XD,TP. Hồ Chí Minh,2.8,377500000,238400000,407000000,388700000,405800000,371400000,259800000,381800000,289100000,472500000,350300000,541200000,18,308700000,217900000,340500000,259000000,318600000,340500000,254300000,284700000,194500000,383700000,310200000,454000000,3270000,3690000,4030000,4290000,4160000,4500000,4360000,3890000,4090000,3680000,3410000,3730000,Không,465000000,0
HKD019,Thời trang Hương Giang,Thời trang,Khánh Hòa,9.6,172900000,166200000,83100000,125400000,111600000,74800000,124100000,90200000,121900000,66100000,121500000,103300000,20,51400000,37600000,44400000,45100000,43400000,34100000,44900000,37000000,32700000,25500000,41300000,42300000,1730000,1610000,1690000,1930000,2300000,2290000,2250000,1870000,1630000,1760000,1720000,1650000,Có,110000000,1
HKD020,Cà phê Nhà Gỗ,Cà phê,Thanh Hóa,1.6,147700000,129700000,138500000,129900000,126500000,171400000,158100000,146800000,126400000,129300000,149900000,125200000,69,101400000,94500000,97300000,94000000,87700000,133900000,104700000,95500000,89400000,96600000,104300000,91900000,7860000,7700000,9750000,10620000,11370000,10310000,9690000,9350000,9050000,8950000,8550000,7420000,Không,115000000,0
HKD021,Thời trang Nhật Hạ,Thời trang,Khánh Hòa,4.1,109100000,92500000,55300000,61000000,61900000,53500000,36600000,80000000,43000000,61900000,79900000,85400000,38,74800000,65200000,41600000,40300000,56100000,28700000,23900000,47900000,25000000,40800000,61500000,48300000,1290000,1440000,1540000,1800000,1840000,1780000,1690000,1690000,1510000,1320000,1380000,1330000,Có,65000000,0
HKD022,Tạp hóa Hai Nhàn,Tạp hóa,Cần Thơ,13.7,145200000,148300000,116600000,92500000,120600000,145100000,131100000,107300000,114100000,137200000,157700000,192500000,196,123600000,104800000,122000000,83800000,110900000,131600000,97100000,89100000,102800000,136900000,138300000,93100000,2470000,2610000,2990000,3120000,3690000,3540000,3470000,3280000,2590000,2800000,2650000,2420000,Có,85000000,0
HKD023,VLXD Tân Tiến,Vật liệu XD,Bắc Ninh,2.7,568300000,407700000,459800000,466300000,537100000,287900000,347500000,205300000,264900000,330100000,290600000,355400000,20,442500000,243300000,323000000,314300000,282600000,199200000,220400000,171700000,166000000,287300000,191600000,317400000,4820000,4900000,5430000,5880000,6490000,6720000,5860000,5350000,4430000,4860000,4990000,4770000,Không,250000000,1
HKD024,Cà phê Ban Mê Xưa,Cà phê,Đồng Nai,2.4,124600000,136100000,122100000,124700000,132900000,130000000,114800000,132900000,130400000,113700000,129900000,123100000,91,75900000,84600000,76400000,77800000,78000000,83000000,68300000,82600000,82500000,68200000,73700000,77600000,6540000,6780000,7260000,8810000,8910000,7910000,9390000,9770000,8780000,7210000,7200000,7230000,Không,70000000,0
HKD025,Quán bún bò Huế Cô Loan,Quán ăn,Hải Phòng,1.7,246800000,241100000,288600000,216900000,230200000,305200000,310900000,252100000,248900000,187400000,246900000,200300000,71,187700000,183900000,209400000,119100000,158200000,247800000,239300000,185000000,204700000,159300000,214100000,138000000,8820000,8820000,9250000,9580000,11230000,10880000,12750000,10850000,9820000,9160000,10010000,8310000,Không,255000000,0
HKD026,Tạp hóa Kim Chi,Tạp hóa,Đồng Nai,3.5,206700000,182000000,156300000,158900000,181900000,182600000,160500000,170100000,126600000,184200000,177200000,221100000,183,173600000,136500000,118700000,113000000,115000000,138800000,125100000,118600000,103300000,142900000,141600000,158800000,3080000,3680000,3960000,4090000,4300000,4420000,4380000,4140000,3420000,3840000,3200000,3370000,Có,125000000,0
HKD027,Shop Kim Ngân Fashion,Thời trang,TP. Hồ Chí Minh,1.1,130300000,50300000,53400000,53900000,103600000,49100000,85700000,56300000,26200000,96200000,38700000,70000000,21,104100000,24900000,21400000,38200000,59700000,19700000,36000000,29000000,18300000,50800000,25400000,55400000,1810000,1870000,2010000,1820000,2320000,2240000,2140000,1950000,1720000,1670000,1720000,1570000,Có,65000000,1
HKD028,Shop Gia Hân,Thời trang,Bình Dương,6.4,190100000,189600000,142100000,143900000,104200000,136000000,108100000,130400000,117500000,100900000,166800000,170400000,32,113200000,101500000,93500000,86200000,70100000,103600000,90600000,87800000,97500000,81800000,111200000,94600000,3200000,3230000,3860000,3960000,4090000,4380000,3660000,3820000,3390000,3590000,3220000,2490000,Có,130000000,0
HKD029,Thời trang Bảo Trâm,Thời trang,Bắc Ninh,6.9,153400000,168400000,103000000,90700000,95000000,117100000,119500000,146600000,143600000,123000000,175600000,212500000,37,114700000,117200000,59400000,68900000,58400000,83700000,65700000,106900000,87600000,92700000,141500000,161600000,2050000,2130000,2320000,2750000,2890000,2910000,2880000,2830000,2590000,2590000,2250000,2230000,Có,135000000,0
HKD030,Tạp hóa Bình Minh,Tạp hóa,Khánh Hòa,2.3,199500000,203600000,134400000,150800000,143400000,151500000,146400000,140100000,137600000,138200000,153300000,168500000,89,147400000,163000000,100800000,120300000,109600000,119200000,107100000,106500000,117500000,108600000,121500000,128600000,3150000,2850000,3150000,3680000,4030000,3810000,3800000,3630000,3350000,2960000,2800000,2980000,Không,130000000,0
HKD031,Cà phê Vườn Xanh,Cà phê,Nghệ An,2.3,136200000,123500000,120600000,129100000,135000000,131400000,122500000,129200000,117800000,115000000,115600000,118400000,73,92000000,88700000,77600000,91200000,88400000,91300000,89700000,90200000,81300000,83400000,80600000,82000000,7220000,8250000,8530000,9100000,8810000,10010000,8750000,9430000,7800000,8800000,6790000,7940000,Không,125000000,0
HKD032,Cửa hàng tạp hóa Tân Phát,Tạp hóa,Hà Nội,3.1,248600000,261600000,109100000,204600000,108300000,140500000,167900000,211000000,128200000,153200000,200500000,194400000,119,249300000,258500000,94100000,188800000,104900000,114700000,181000000,105700000,86300000,161400000,178400000,139400000,3470000,3690000,3640000,4240000,4320000,4400000,4330000,4490000,3580000,3530000,3610000,3140000,Không,95000000,0
HKD033,Quán nem nướng Cô Thắm,Quán ăn,Hà Nội,3.7,123400000,128300000,122600000,109800000,139100000,129600000,142800000,131200000,121900000,118400000,108800000,107700000,81,43200000,41800000,41000000,35000000,39500000,38900000,51300000,40800000,39000000,35100000,34500000,34500000,3870000,3990000,4180000,4530000,5020000,5210000,4990000,5370000,4490000,4220000,3850000,4160000,Có,45000000,0
HKD034,Quán ăn gia đình Minh Tâm,Quán ăn,Thanh Hóa,1.8,137000000,95200000,114000000,119700000,143500000,168500000,123500000,147100000,105100000,120800000,94400000,102900000,72,77200000,45300000,67900000,59700000,77600000,89300000,63400000,80100000,63900000,89800000,43100000,57200000,4060000,3960000,4620000,4640000,5230000,5750000,4620000,5160000,4760000,4120000,4320000,4190000,Không,245000000,1
HKD035,Thời trang Mộc An,Thời trang,Cần Thơ,1.4,228000000,102400000,125400000,118100000,146400000,105300000,62400000,80700000,199800000,170700000,136600000,251500000,27,130100000,58500000,63800000,97100000,135300000,57000000,44000000,64200000,188600000,60300000,93600000,189000000,2470000,2840000,3040000,3380000,3360000,3630000,3350000,3480000,3090000,2820000,2530000,2980000,Không,45000000,1
HKD036,Tạp hóa Ngọc Diệp,Tạp hóa,Bắc Ninh,2.2,185100000,214700000,149000000,166700000,159200000,181800000,171700000,159100000,131800000,157600000,164900000,210600000,130,166900000,205000000,131700000,137800000,159700000,163800000,149700000,138700000,107700000,144600000,149000000,203200000,3560000,3590000,3980000,3920000,4170000,4340000,3960000,4100000,3700000,3700000,3410000,2960000,Có,115000000,0
HKD037,Thời trang Phương Nghi,Thời trang,Đà Nẵng,0.9,124700000,137000000,81700000,75600000,90800000,79200000,63500000,78000000,85000000,88100000,77800000,97900000,43,105500000,105500000,68200000,63700000,68300000,63300000,46700000,64400000,63600000,63300000,58600000,73400000,2050000,2100000,2060000,2300000,2620000,2690000,2580000,2870000,2410000,2120000,2130000,2160000,Không,80000000,0
HKD038,Shop thời trang Ngọc Anh,Thời trang,Nghệ An,4.1,174600000,173500000,110000000,110500000,131000000,166800000,98800000,91500000,151100000,222300000,220100000,265800000,38,138900000,103000000,74800000,43800000,79400000,121800000,50300000,41900000,81000000,153600000,173400000,248000000,2870000,2460000,2530000,3190000,3610000,3120000,3290000,3190000,3000000,2790000,2790000,2820000,Có,105000000,0
HKD039,Cà phê Sương Mai,Cà phê,Nghệ An,16.0,153000000,140600000,154300000,151200000,176000000,160400000,186000000,199900000,173700000,176900000,179900000,197700000,111,45500000,44200000,46300000,45000000,53900000,48700000,51700000,67200000,53200000,49300000,57700000,60100000,6510000,6850000,6750000,6340000,8200000,8510000,8750000,7610000,7160000,7020000,6450000,6340000,Có,115000000,0
HKD040,VLXD Hùng Cường,Vật liệu XD,Lâm Đồng,13.9,469700000,407400000,499900000,428300000,396000000,505700000,359800000,311000000,359200000,492700000,633300000,601800000,15,400900000,322400000,403300000,359600000,298100000,402200000,270400000,228800000,293800000,356600000,494700000,436600000,4270000,4250000,5070000,5160000,5530000,6150000,4550000,4960000,4050000,4560000,4490000,4450000,Có,845000000,0
HKD041,Quán bún chả Bà Mai,Quán ăn,Bắc Ninh,14.9,168600000,180200000,192500000,195700000,192000000,211900000,195800000,155500000,208100000,157900000,181400000,218500000,105,98500000,136300000,95100000,104700000,112900000,141600000,110900000,76500000,136200000,82700000,103400000,139400000,6850000,7090000,8140000,8420000,9310000,8780000,9080000,8260000,7310000,8400000,7480000,7520000,Có,170000000,0
HKD042,Tạp hóa Đại Lộc,Tạp hóa,Thanh Hóa,3.3,176300000,196900000,132000000,131900000,160100000,139400000,160900000,159600000,148400000,172200000,189300000,215000000,180,126900000,151100000,104600000,100200000,130500000,109100000,125500000,128200000,107700000,125900000,145800000,165600000,3040000,3040000,3120000,3370000,3510000,3550000,3480000,3640000,3060000,2900000,2870000,2700000,Không,195000000,0
HKD043,Shop Diễm My,Thời trang,Khánh Hòa,5.2,117500000,144600000,67400000,64100000,99700000,81800000,74700000,112400000,90400000,92300000,107700000,109800000,46,112500000,137300000,57600000,57700000,96500000,79900000,74700000,115000000,86800000,91500000,95300000,98800000,1880000,1600000,2010000,2520000,2020000,2510000,2030000,2240000,2190000,2050000,1710000,1630000,Không,85000000,0
HKD044,Shop Lan Anh Style,Thời trang,Khánh Hòa,3.0,154900000,146900000,88300000,97100000,95600000,72800000,104600000,79600000,120400000,94800000,87100000,121700000,28,110200000,78800000,52800000,74100000,50600000,39600000,67100000,40400000,46700000,44000000,57700000,83800000,2410000,2430000,2390000,2900000,3190000,2910000,3150000,2820000,2660000,2530000,2170000,2530000,Không,190000000,1
HKD045,Cà phê Mộc Miên,Cà phê,Bắc Ninh,2.7,79400000,67800000,91800000,101000000,118000000,109200000,82300000,92500000,66600000,92200000,88900000,79400000,124,41300000,34700000,44900000,61000000,83700000,62800000,48500000,49500000,33700000,60500000,44900000,43600000,4450000,4740000,4960000,5550000,5320000,5810000,6220000,5210000,4870000,5170000,4690000,4770000,Không,25000000,0
HKD046,Cà phê Tí Nị,Cà phê,Hà Nội,1.5,134400000,130900000,140800000,127500000,139700000,147400000,128100000,127500000,131100000,117500000,120500000,118300000,99,115200000,120700000,120400000,106200000,120500000,143000000,115200000,110400000,117800000,107100000,108000000,95800000,8000000,7930000,9160000,8630000,10720000,9940000,9040000,10520000,8610000,8560000,7950000,8370000,Có,95000000,0
HKD047,Shop Hạ Vy Boutique,Thời trang,Thanh Hóa,6.6,205000000,222600000,119000000,128200000,153200000,142600000,135400000,124200000,145000000,166200000,173300000,224400000,23,129700000,142100000,70700000,76500000,93200000,86900000,84300000,79700000,92400000,109900000,101700000,142800000,2930000,3240000,3160000,3520000,3520000,3870000,3800000,3450000,3180000,3070000,3060000,2690000,Không,55000000,0
HKD048,Quán cơm Bà Tư,Quán ăn,Bình Dương,16.0,184600000,131500000,102200000,178400000,145100000,192100000,140700000,175400000,86700000,164800000,93700000,173000000,71,29200000,40600000,36400000,61000000,55900000,47400000,57400000,71900000,20700000,43500000,26000000,53800000,4230000,3640000,4810000,4930000,5040000,5770000,5260000,5540000,4880000,4370000,4580000,4390000,Có,90000000,0
HKD049,Quán cơm tấm Sáu Nhỏ,Quán ăn,Đà Nẵng,2.5,174700000,124500000,146800000,116100000,149900000,198400000,182400000,158800000,206200000,161000000,157200000,214300000,80,82300000,81100000,76300000,63300000,83000000,122600000,112400000,100300000,128700000,115700000,116600000,142300000,5860000,5600000,5800000,6940000,7210000,7690000,6400000,8070000,5850000,5980000,6070000,5140000,Có,80000000,0
HKD050,VLXD Đại Thành,Vật liệu XD,TP. Hồ Chí Minh,1.3,521100000,419700000,517900000,562200000,520200000,490000000,430100000,459500000,500700000,522200000,638400000,717400000,21,371400000,318600000,384100000,422300000,378200000,362900000,322000000,310400000,348300000,361400000,505100000,531200000,4770000,4820000,5010000,5330000,6290000,5950000,6560000,5850000,5310000,4910000,4750000,4680000,Có,405000000,0
HKD051,Quán cháo lòng Bà Bảy,Quán ăn,Hải Phòng,1.6,276900000,178200000,204100000,167400000,190600000,171500000,169200000,137800000,121600000,134900000,133100000,126100000,71,210600000,150200000,123400000,150000000,155100000,144000000,154700000,107700000,109200000,105200000,114800000,98800000,8520000,9300000,8910000,9640000,10520000,11110000,12510000,10010000,8300000,8570000,7740000,8090000,Có,190000000,0
HKD052,Tạp hóa Thanh Vân,Tạp hóa,Cần Thơ,2.4,227000000,217300000,144000000,147000000,142400000,159700000,153800000,149200000,149600000,152400000,140000000,178200000,126,118900000,118200000,74900000,75900000,80500000,86100000,81800000,79400000,81000000,82200000,66600000,92000000,2830000,3070000,3450000,3240000,4110000,3770000,3800000,3450000,3130000,3330000,2900000,2860000,Có,105000000,0
HKD053,Cà phê Chậm,Cà phê,Đà Nẵng,1.3,63900000,45000000,57000000,69500000,78000000,60000000,63100000,73500000,49300000,74400000,79600000,56400000,88,24100000,16000000,22400000,25400000,27600000,21800000,24100000,26800000,17800000,24200000,29500000,20300000,3350000,3080000,3330000,3470000,4040000,3890000,3710000,4100000,3780000,3130000,2900000,3220000,Không,85000000,1
HKD054,Cà phê Góc Phố,Cà phê,Nghệ An,16.0,134600000,136300000,122200000,139900000,137200000,173400000,152000000,165100000,153300000,138200000,161900000,173900000,143,93900000,109600000,118300000,104500000,109800000,119100000,120000000,120500000,123800000,105100000,112700000,143800000,7630000,7420000,8610000,8710000,10150000,10050000,9700000,9970000,8070000,8720000,6950000,8480000,Có,95000000,0
HKD055,VLXD Minh Quân,Vật liệu XD,Bình Dương,2.5,557000000,521300000,345600000,445500000,431300000,445100000,466300000,328300000,373700000,530700000,316300000,391900000,7,264000000,270100000,187200000,208100000,299100000,199500000,232400000,205800000,222600000,274400000,175900000,235200000,3620000,3840000,3790000,4350000,4180000,4470000,4320000,4820000,3980000,3920000,3490000,3570000,Không,465000000,0
HKD056,Bếp Việt Thanh Hương,Quán ăn,Khánh Hòa,8.2,95600000,79200000,91100000,96900000,93900000,90900000,91600000,90100000,70500000,79500000,77800000,68400000,148,84100000,60200000,74800000,85200000,71400000,68300000,71600000,70600000,58000000,64100000,62800000,55300000,4010000,3930000,4590000,4850000,4880000,5880000,4800000,5250000,4380000,4420000,4280000,4270000,Có,70000000,0
HKD057,Quán ăn Hai Lúa,Quán ăn,Đồng Nai,16.0,144300000,110600000,98100000,141000000,97300000,122700000,170100000,142700000,132400000,128800000,150700000,136500000,51,30900000,31800000,17400000,29700000,32300000,38500000,44800000,39400000,37300000,40200000,38200000,34100000,3560000,3810000,4170000,4320000,4970000,4520000,4720000,4390000,3920000,4240000,3710000,3470000,Có,165000000,0
HKD058,VLXD Nam Long,Vật liệu XD,Bình Dương,6.4,325800000,311300000,284100000,261300000,283700000,193200000,213000000,77900000,291500000,192700000,293100000,291100000,15,263200000,251900000,227600000,133900000,197900000,191700000,131400000,47600000,334700000,191700000,309100000,229300000,2420000,2550000,2740000,2840000,2790000,2970000,2780000,3240000,2630000,2510000,2480000,2390000,Có,415000000,0
HKD059,Tạp hóa Hồng Loan,Tạp hóa,Đà Nẵng,2.5,310000000,289600000,203900000,218300000,203200000,222500000,223400000,209000000,211400000,229800000,235400000,258000000,128,262600000,253600000,185800000,194400000,180500000,205500000,176300000,165900000,160200000,205000000,178200000,220400000,4830000,4320000,4920000,5440000,6190000,5470000,6040000,5970000,5270000,4970000,5080000,4680000,Không,190000000,0
HKD060,VLXD Thành Đạt,Vật liệu XD,TP. Hồ Chí Minh,6.3,484100000,338000000,295500000,280000000,383500000,289000000,282000000,256200000,344500000,396100000,304500000,411300000,19,272400000,166000000,186200000,160700000,236100000,219600000,191300000,169700000,191300000,198100000,204800000,231300000,3070000,3060000,3420000,4200000,3860000,3930000,3980000,3860000,3220000,2920000,3020000,3030000,Có,320000000,0
